year,rank,song,name,peak,previous,streak,streams,movement,halftime
2017,81,Solo Dance,Martin Jensen,76,76,76,1993143,5,0
2017,82,Million Reasons,Lady Gaga,82,82,82,1982144,0,1
2017,83,That's What I Like,Bruno Mars,83,83,83,1979877,0,0
2017,84,Sunday Morning Jetpack,Big Sean,84,84,84,1976237,0,0
2017,85,Mercy,Shawn Mendes,30,30,30,1945728,55,0
2017,86,White Iverson,Post Malone,81,81,81,1934602,5,0
2017,87,Low Life,Future,59,59,59,1926601,28,0
2017,87,Low Life,The Weeknd,59,59,59,1926601,28,0
2017,88,Controlla,Drake,41,41,41,1907634,47,0
2017,89,Light,San Holo,72,72,72,1892080,17,0
2017,90,Erase Your Social,Lil Uzi Vert,76,76,76,1889913,14,0
2017,91,Needed Me,Rihanna,45,45,45,1864911,46,0
2017,92,Too Good,Drake,38,38,38,1863328,54,0
2017,93,No Role Modelz,J. Cole,65,65,65,1851661,28,0
2017,94,I Got You,Bebe Rexha,79,79,79,1850234,15,0
2017,95,Sidewalks,The Weeknd,43,43,43,1840815,52,0
2017,96,Gassed Up,Nebu Kiniza,77,77,77,1834764,19,0
2017,97,Believer,Imagine Dragons,97,97,97,1831744,0,0
2017,98,Wyclef Jean,Young Thug,98,98,98,1818349,0,0
2017,99,Scars To Your Beautiful,Alessia Cara,33,33,33,1818000,66,0
2017,100,Water Under the Bridge,Adele,74,74,74,1801020,26,0
2017,101,Inspire Me,Big Sean,101,101,101,1792708,0,0
2017,102,Cake - Challenge Version,Flo Rida,92,92,92,1786125,10,0
2017,103,Look at Me!,XXXTENTACION,103,103,103,1779340,0,0
2017,104,Don't Let Me Down,The Chainsmokers,43,43,43,1773111,61,0
2017,105,Come and See Me,PARTYNEXTDOOR,81,81,81,1748167,24,0
2017,105,Come and See Me,Drake,81,81,81,1748167,24,0
2017,106,The Other,Lauv,106,106,106,1743581,0,0
2017,107,Down,Marian Hill,107,107,107,1734722,0,0
2017,108,Money Longer,Lil Uzi Vert,73,73,73,1725142,35,0
2017,109,Cold Water,Major Lazer,39,39,39,1723393,70,0
2017,110,Not Going Home,DVBBS,71,71,71,1722113,39,0
2017,110,Not Going Home,Gia Koka,71,71,71,1722113,39,0
2017,111,Panda,Desiigner,54,54,54,1719061,57,0
2017,112,Brown Paper Bag,Migos,64,64,64,1703855,48,0
2017,113,All We Know,The Chainsmokers,29,29,29,1702088,84,0
2017,114,Romantic - NOTD Remix,Stanaj,112,112,112,1701169,2,0
2017,115,Neighbors,J. Cole,27,27,27,1680294,88,0
2017,116,Don't,Bryson Tiller,82,82,82,1660878,34,0
2017,117,Litty,Meek Mill,97,97,97,1640197,20,0
2017,117,Litty,Tory Lanez,97,97,97,1640197,20,0
2017,118,No Flockin',Kodak Black,90,90,90,1636096,28,0
2017,119,Sucker for Pain,Lil Wayne,61,61,61,1633164,58,0
2017,119,Sucker for Pain,Wiz Khalifa,61,61,61,1633164,58,0
2017,119,Sucker for Pain,Imagine Dragons,61,61,61,1633164,58,0
2017,119,Sucker for Pain,Logic,61,61,61,1633164,58,0
2017,119,Sucker for Pain,Ty Dolla $ign,61,61,61,1633164,58,0
2017,119,Sucker for Pain,X Ambassadors,61,61,61,1633164,58,0
2017,120,Lighthouse - Andrelli Remix,Hearts & Colors,86,86,86,1630808,34,0
2017,121,Lot to Learn,Luke Christopher,96,96,96,1629737,25,0
2017,122,Oceans Away,A R I Z O N A,107,107,107,1629675,15,0
2017,123,Exchange,Bryson Tiller,84,84,84,1615276,39,0
2017,124,OOOUUU,Young M.A,27,27,27,1585510,97,0
2017,125,Ride,Twenty One Pilots,65,65,65,1575843,60,0
2017,126,It's Gotta Be You,Isaiah Firebrace,110,110,110,1573404,16,0
2017,127,Treat You Better,Shawn Mendes,47,47,47,1568892,80,0
2017,128,Setting Fires,The Chainsmokers,70,70,70,1568580,58,0
2017,129,I Would Like,Zara Larsson,95,95,95,1538909,34,0
2017,130,Deja Vu,Post Malone,106,106,106,1512526,24,0
2017,131,Party,Chris Brown,117,117,117,1506787,14,0
2017,131,Party,Usher,117,117,117,1506787,14,0
2017,131,Party,Gucci Mane,117,117,117,1506787,14,0
2017,132,beibs in the trap,Travis Scott,132,132,132,1500837,0,0
2017,133,Too Much Sauce,DJ ESCO,95,95,95,1495186,38,0
2017,133,Too Much Sauce,Future,95,95,95,1495186,38,0
2017,133,Too Much Sauce,Lil Uzi Vert,95,95,95,1495186,38,0
2017,134,Shed a Light,Robin Schulz,100,100,100,1479954,34,0
2017,135,Sooner Or Later,Aaron Carter,135,135,135,1476294,0,0
2017,136,Intro,Big Sean,136,136,136,1472791,0,0
2017,137,Go Flex,Post Malone,137,137,137,1470432,0,0
2017,138,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,56,56,56,1462256,82,0
2017,139,Running Back,Wale,109,109,109,1459311,30,0
2017,139,Running Back,Lil Wayne,109,109,109,1459311,30,0
2017,140,Timeless,A Boogie Wit da Hoodie,125,125,125,1455167,15,0
2017,140,Timeless,DJ SPINKING,125,125,125,1455167,15,0
2017,141,"i hate u, i love u",gnash,77,77,77,1449116,64,0
2017,141,"i hate u, i love u",olivia o'brien,77,77,77,1449116,64,0
2017,142,Good Drank,2 Chainz,131,131,131,1440861,11,0
2017,143,Jumpman,Drake,73,73,73,1421422,70,0
2017,144,Stressed Out,Twenty One Pilots,92,92,92,1419015,52,0
2017,145,Die For You,The Weeknd,74,74,74,1413979,71,0
2017,146,Reminder,The Weeknd,53,53,53,1411184,93,0
2017,147,Work from Home,Fifth Harmony,52,52,52,1409717,95,0
2017,147,Work from Home,Ty Dolla $ign,52,52,52,1409717,95,0
2017,148,This Town,Niall Horan,112,112,112,1386272,36,0
2017,149,Hear Me Now,Alok,112,112,112,1368527,37,0
2017,150,Death of a Bachelor,Panic! At The Disco,127,127,127,1350627,23,0
2017,151,One Night,Lil Yachty,81,81,81,1347770,70,0
2017,152,I Miss You,Grey,152,152,152,1343082,0,0
2017,152,I Miss You,Bahari,152,152,152,1343082,0,0
2017,153,Thumbs,Sabrina Carpenter,153,153,153,1339640,0,0
2017,154,First Day Out,Tee Grizzley,154,154,154,1333815,0,0
2017,155,Immortal,J. Cole,31,31,31,1317983,124,0
2017,156,Losin Control,Russ,156,156,156,1313943,0,0
2017,157,Blue Ain't Your Color,Keith Urban,139,139,139,1306402,18,0
2017,158,Somebody Else,VÉRITÉ,130,130,130,1300047,28,0
2017,159,Steady 1234,Vice,105,105,105,1297031,54,0
2017,159,Steady 1234,Jasmine Thompson,105,105,105,1297031,54,0
2017,159,Steady 1234,Skizzy Mars,105,105,105,1297031,54,0
2017,160,Work,Rihanna,57,57,57,1267709,103,0
2017,161,Into You,Ariana Grande,63,63,63,1266379,98,0
2017,162,The Hills,The Weeknd,121,121,121,1259787,41,0
2017,163,"Me, Myself & I",G-Eazy,103,103,103,1257446,60,0
2017,164,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,102,102,102,1256548,62,0
2017,165,Culture,Migos,62,62,62,1254223,103,0
2017,165,Culture,DJ Khaled,62,62,62,1254223,103,0
2017,166,What They Want,Russ,132,132,132,1251262,34,0
2017,167,My Shit,A Boogie Wit da Hoodie,82,82,82,1248492,85,0
2017,168,Father Stretch My Hands Pt. 1,Kanye West,115,115,115,1231904,53,0
2017,169,Till I Collapse,Eminem,155,155,155,1230406,14,0
2017,170,Magic,Thomas Gold,170,170,170,1213765,0,0
2017,171,Skateboard P (Mixtape),MadeinTYO,167,167,167,1208871,4,0
2017,172,Thinking out Loud,Ed Sheeran,108,108,108,1199853,64,0
2017,173,Lose Yourself,Eminem,162,162,162,1175508,11,0
2017,174,oui,Jeremih,154,154,154,1172736,20,0
2017,175,This Is What You Came For,Calvin Harris,71,71,71,1168911,104,0
2017,176,Wet Dreamz,J. Cole,166,166,166,1167381,10,0
2017,177,Still Here,Drake,145,145,145,1161515,32,0
2017,178,There He Go,Kodak Black,151,151,151,1153024,27,0
2017,179,Ophelia,The Lumineers,161,161,161,1141690,18,0
2017,180,PRBLMS,6LACK,180,180,180,1140338,0,0
2017,181,Rolex,Ayo & Teo,181,181,181,1140219,0,0
2017,182,Photograph,Ed Sheeran,91,91,91,1138843,91,0
2017,183,We Don't Talk Anymore,Charlie Puth,96,96,96,1130998,87,0
2017,183,We Don't Talk Anymore,Selena Gomez,96,96,96,1130998,87,0
2017,184,Taped Up Heart,KREAM,151,151,151,1123736,33,0
2017,184,Taped Up Heart,Clara Mae,151,151,151,1123736,33,0
2017,185,Never Be Like You,Flume,84,84,84,1121544,101,0
2017,185,Never Be Like You,Kai,84,84,84,1121544,101,0
2017,186,Pop Style,Drake,123,123,123,1119679,63,0
2017,187,Rap God,Eminem,179,179,179,1114704,8,0
2017,188,Let It Go,James Bay,184,184,184,1111594,4,0
2017,189,Juke Jam,Chance the Rapper,187,187,187,1110872,2,0
2017,189,Juke Jam,Justin Bieber,187,187,187,1110872,2,0
2017,189,Juke Jam,Towkio,187,187,187,1110872,2,0
2017,190,Capsize,FRENSHIP,135,135,135,1109037,55,0
2017,191,True Colors,The Weeknd,112,112,112,1100814,79,0
2017,192,PILLOWTALK,ZAYN,124,124,124,1097656,68,0
2017,193,7 Years,Lukas Graham,134,134,134,1096918,59,0
2017,194,Roses,The Chainsmokers,128,128,128,1094312,66,0
2017,195,Antidote,Travis Scott,179,179,179,1090327,16,0
2017,196,Dirt On My Boots,Jon Pardi,196,196,196,1084808,0,0
2017,197,Crazy Brazy,A$AP Mob,167,167,167,1078297,30,0
2017,197,Crazy Brazy,A$AP Rocky,167,167,167,1078297,30,0
2017,197,Crazy Brazy,A$AP Twelvyy,167,167,167,1078297,30,0
2017,197,Crazy Brazy,Key!,167,167,167,1078297,30,0
2017,198,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,60,60,60,1077595,138,0
2017,199,Famous,Kanye West,139,139,139,1075055,60,0
2017,200,What the Price,Migos,69,69,69,1074463,131,0
2018,1,God's Plan,Drake,1,1,1,24209854,0,0
2018,2,Stir Fry,Migos,2,2,2,9236997,0,0
2018,3,Pray For Me,The Weeknd,3,3,3,8001628,0,0
2018,4,Mine,Bazzi,4,4,4,7781736,0,0
2018,5,rockstar,Post Malone,1,1,1,7700941,4,0
2018,5,rockstar,21 Savage,1,1,1,7700941,4,0
2018,6,Finesse - Remix;,Bruno Mars,2,2,2,7065926,4,0
2018,6,Finesse - Remix;,Cardi B,2,2,2,7065926,4,0
2018,7,Narcos,Migos,3,3,3,6699402,4,0
2018,8,The Middle,Zedd,8,8,8,6689374,0,0
2018,9,I Fall Apart,Post Malone,2,2,2,6669431,7,0
2018,10,All The Stars,Kendrick Lamar,7,7,7,6137052,3,0
2018,10,All The Stars,SZA,7,7,7,6137052,3,0
2018,11,Ric Flair Drip,Offset,4,4,4,5971770,7,0
2018,11,Ric Flair Drip,Metro Boomin,4,4,4,5971770,7,0
2018,12,Bartier Cardi,Cardi B,4,4,4,5876902,8,0
2018,12,Bartier Cardi,21 Savage,4,4,4,5876902,8,0
2018,13,LOVE. FEAT. ZACARI.,Kendrick Lamar,5,5,5,5382911,8,0
2018,14,Havana,Camila Cabello,2,2,2,5369885,12,0
2018,14,Havana,Young Thug,2,2,2,5369885,12,0
2018,15,Never Be the Same,Camila Cabello,5,5,5,5340354,10,0
2018,16,Say Something,Justin Timberlake,16,16,16,5259718,0,1
2018,16,Say Something,Chris Stapleton,16,16,16,5259718,0,0
2018,17,No Limit,G-Eazy,2,2,2,5153127,15,0
2018,18,PICK IT UP,Famous Dex,14,14,14,5104068,4,0
2018,18,PICK IT UP,A$AP Rocky,14,14,14,5104068,4,0
2018,19,Let You Down,NF,11,11,11,4925603,8,0
2018,20,MotorSport,Migos,9,9,9,4883906,11,0
2018,21,Meant to Be,Bebe Rexha,18,18,18,4709982,3,0
2018,21,Meant to Be,Florida Georgia Line,18,18,18,4709982,3,0
2018,22,Sky Walker,Miguel,22,22,22,4598997,0,0
2018,22,Sky Walker,Travis Scott,22,22,22,4598997,0,0
2018,23,Him & I,G-Eazy,5,5,5,4525060,18,0
2018,23,Him & I,Halsey,5,5,5,4525060,18,0
2018,24,XO Tour Llif3,Lil Uzi Vert,2,2,2,4452291,22,0
2018,25,Betrayed,Lil Xan,25,25,25,4437854,0,0
2018,26,Candy Paint,Post Malone,4,4,4,4360439,22,0
2018,27,Codeine Dreaming,Kodak Black,11,11,11,4321046,16,0
2018,27,Codeine Dreaming,Lil Wayne,11,11,11,4321046,16,0
2018,28,IDGAF,Dua Lipa,28,28,28,4270569,0,0
2018,29,Plain Jane,A$AP Ferg,8,8,8,4155279,21,0
2018,30,Walk It Talk It,Migos,6,6,6,4129949,24,0
2018,31,HUMBLE.,Kendrick Lamar,1,1,1,4118953,30,0
2018,32,Let Me Go,Hailee Steinfeld,19,19,19,3956348,13,0
2018,32,Let Me Go,Alesso,19,19,19,3956348,13,0
2018,32,Let Me Go,Florida Georgia Line,19,19,19,3956348,13,0
2018,32,Let Me Go,watt,19,19,19,3956348,13,0
2018,33,Bank Account,21 Savage,1,1,1,3868968,32,0
2018,34,Congratulations,Post Malone,5,5,5,3800805,29,0
2018,35,Young Dumb & Broke,Khalid,6,6,6,3738024,29,0
2018,36,River,Eminem,2,2,2,3662837,34,0
2018,36,River,Ed Sheeran,2,2,2,3662837,34,0
2018,37,King's Dead,Jay Rock,37,37,37,3642164,0,0
2018,37,King's Dead,Kendrick Lamar,37,37,37,3642164,0,0
2018,37,King's Dead,Future,37,37,37,3642164,0,0
2018,37,King's Dead,James Blake,37,37,37,3642164,0,0
2018,38,Nowadays,Lil Skies,38,38,38,3556762,0,0
2018,38,Nowadays,Landon Cube,38,38,38,3556762,0,0
2018,39,Perfect,Ed Sheeran,13,13,13,3551956,26,0
2018,40,Rewrite The Stars,Zac Efron,22,22,22,3536101,18,0
2018,41,Sick Boy,The Chainsmokers,21,21,21,3486473,20,0
2018,42,Filthy,Justin Timberlake,14,14,14,3427778,28,1
2018,43,1-800-273-8255,Logic,1,1,1,3337594,42,0
2018,44,Bodak Yellow,Cardi B,3,3,3,3324814,41,0
2018,45,Diplomatic Immunity,Drake,3,3,3,3310808,42,0
2018,46,I Get the Bag,Gucci Mane,7,7,7,3295805,39,0
2018,46,I Get the Bag,Migos,7,7,7,3295805,39,0
2018,47,New Rules,Dua Lipa,20,20,20,3295444,27,0
2018,48,BBO (Bad Bitches Only),Migos,13,13,13,3157497,35,0
2018,49,Gucci Gang,Lil Pump,2,2,2,3144714,47,0
2018,50,Wanted You,NAV,28,28,28,3120775,22,0
2018,50,Wanted You,Lil Uzi Vert,28,28,28,3120775,22,0
2018,51,Notice Me,Migos,23,23,23,3102110,28,0
2018,52,Too Good At Goodbyes,Sam Smith,2,2,2,3062445,50,0
2018,53,Location,Khalid,9,9,9,3031889,44,0
2018,54,Roll in Peace,Kodak Black,24,24,24,3020382,30,0
2018,54,Roll in Peace,XXXTENTACION,24,24,24,3020382,30,0
2018,55,This Is Me,Keala Settle,42,42,42,3017255,13,0
2018,56,Wolves,Selena Gomez,5,5,5,2958544,51,0
2018,57,goosebumps,Travis Scott,16,16,16,2941731,41,0
2018,58,Jocelyn Flores,XXXTENTACION,3,3,3,2871104,55,0
2018,59,Thunder,Imagine Dragons,21,21,21,2782235,38,0
2018,60,BUTTERFLY EFFECT,Travis Scott,9,9,9,2780733,51,0
2018,61,These Days,Rudimental,61,61,61,2727406,0,0
2018,61,These Days,Jess Glynne,61,61,61,2727406,0,0
2018,61,These Days,Macklemore,61,61,61,2727406,0,0
2018,61,These Days,Dan Caplen,61,61,61,2727406,0,0
2018,62,Bounce Out With That,YBN Nahmir,62,62,62,2722172,0,0
2018,63,Tell Me You Love Me,Demi Lovato,38,38,38,2696811,25,0
2018,64,Silence,Marshmello,10,10,10,2687637,54,0
2018,65,Fuck Love,XXXTENTACION,8,8,8,2672655,57,0
2018,66,New Freezer,Rich The Kid,66,66,66,2660826,0,0
2018,66,New Freezer,Kendrick Lamar,66,66,66,2660826,0,0
2018,67,KEKE,6ix9ine,47,47,47,2618213,20,0
2018,68,The Way Life Goes,Lil Uzi Vert,8,8,8,2612753,60,0
2018,68,The Way Life Goes,Oh Wonder,8,8,8,2612753,60,0
2018,69,Red Roses,Lil Skies,64,64,64,2608659,5,0
2018,69,Red Roses,Landon Cube,64,64,64,2608659,5,0
2018,70,Unforgettable,French Montana,1,1,1,2600110,69,0
2018,71,DNA.,Kendrick Lamar,2,2,2,2561213,69,0
2018,72,Man of the Woods,Justin Timberlake,72,72,72,2521941,0,1
2018,73,Bad At Love,Halsey,25,25,25,2472438,48,0
2018,74,Sorry Not Sorry,Demi Lovato,9,9,9,2469467,65,0
2018,75,Rubbin off the Paint,YBN Nahmir,51,51,51,2461071,24,0
2018,76,Gang Gang,Migos,34,34,34,2438552,42,0
2018,77,End Game,Taylor Swift,29,29,29,2368772,48,0
2018,78,Redbone,Childish Gambino,9,9,9,2367094,69,0
2018,79,Slippery,Migos,21,21,21,2334341,58,0
2018,79,Slippery,Gucci Mane,21,21,21,2334341,58,0
2018,80,Drowning,A Boogie Wit da Hoodie,21,21,21,2333905,59,0
2018,80,Drowning,Kodak Black,21,21,21,2333905,59,0
2018,81,She Loves Control,Camila Cabello,81,81,81,2328173,0,0
2018,82,What Lovers Do,Maroon 5,9,9,9,2224124,73,0
2018,82,What Lovers Do,SZA,9,9,9,2224124,73,0
2018,83,Shape of You,Ed Sheeran,1,1,1,2201067,82,0
2018,84,Go Flex,Post Malone,24,24,24,2195769,60,0
2018,85,I Miss You,Clean Bandit,57,57,57,2166506,28,0
2018,85,I Miss You,Julia Michaels,57,57,57,2166506,28,0
2018,86,Feel It Still,Portugal. The Man,17,17,17,2126079,69,0
2018,87,Love Galore,SZA,24,24,24,2111069,63,0
2018,87,Love Galore,Travis Scott,24,24,24,2111069,63,0
2018,88,Supplies,Justin Timberlake,88,88,88,2110903,0,1
2018,89,Believer,Imagine Dragons,11,11,11,2103150,78,0
2018,90,Miss You,Cashmere Cat,81,81,81,2090506,9,0
2018,90,Miss You,Major Lazer,81,81,81,2090506,9,0
2018,90,Miss You,Tory Lanez,81,81,81,2090506,9,0
2018,91,GUMMO,6ix9ine,52,52,52,2083638,39,0
2018,92,Échame La Culpa,Luis Fonsi,52,52,52,1996482,40,0
2018,93,Rake It Up,Yo Gotti,21,21,21,1979936,72,0
2018,93,Rake It Up,Nicki Minaj,21,21,21,1979936,72,0
2018,94,Ice Tray,Quality Control,75,75,75,1956534,19,0
2018,95,What Ifs,Kane Brown,50,50,50,1949667,45,0
2018,95,What Ifs,Lauren Alaina,50,50,50,1949667,45,0
2018,96,The Greatest Show,Hugh Jackman,72,72,72,1926839,24,0
2018,97,Capital Letters,Hailee Steinfeld,97,97,97,1912866,0,0
2018,98,The Weekend - Funk Wav Remix,SZA,98,98,98,1892016,0,0
2018,99,White Iverson,Post Malone,66,66,66,1869038,33,0
2018,100,Losin Control,Russ,75,75,75,1868510,25,0
2018,101,Mask Off,Future,2,2,2,1859730,99,0
2018,102,Praying,Kesha,17,17,17,1841493,85,0
2018,103,Passionfruit,Drake,1,1,1,1839150,102,0
2018,104,Magnolia,Playboi Carti,12,12,12,1836371,92,0
2018,105,Attention,Rich Brian,105,105,105,1826936,0,0
2018,105,Attention,Offset,105,105,105,1826936,0,0
2018,106,A Million Dreams,Ziv Zaifman,79,79,79,1802207,27,0
2018,107,Ghostface Killers,21 Savage,8,8,8,1799414,99,0
2018,107,Ghostface Killers,Travis Scott,8,8,8,1799414,99,0
2018,108,Say You Won't Let Go,James Arthur,15,15,15,1795802,93,0
2018,109,Marry Me,Thomas Rhett,90,90,90,1794331,19,0
2018,110,Never Enough,Loren Allred,81,81,81,1790366,29,0
2018,111,My My My!,Troye Sivan,17,17,17,1787801,94,0
2018,112,That's What I Like,Bruno Mars,3,3,3,1777787,109,0
2018,113,Everybody Dies In Their Nightmares,XXXTENTACION,15,15,15,1755992,98,0
2018,114,Dark Knight Dummo,Trippie Redd,63,63,63,1754769,51,0
2018,114,Dark Knight Dummo,Travis Scott,63,63,63,1754769,51,0
2018,115,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,5,5,5,1745258,110,0
2018,116,Attention,Charlie Puth,16,16,16,1742964,100,0
2018,117,Relationship,Young Thug,55,55,55,1738552,62,0
2018,117,Relationship,Future,55,55,55,1738552,62,0
2018,118,Bounce Back,Big Sean,3,3,3,1738145,115,0
2018,119,Greatest Love Story,LANCO,119,119,119,1728204,0,0
2018,120,Body Like A Back Road,Sam Hunt,15,15,15,1728144,105,0
2018,121,How Long,Charlie Puth,39,39,39,1724386,82,0
2018,122,It's A Vibe,2 Chainz,41,41,41,1724005,81,0
2018,123,Sauce It Up,Lil Uzi Vert,23,23,23,1708547,100,0
2018,124,Crew,GoldLink,113,113,113,1702558,11,0
2018,124,Crew,Brent Faiyaz,113,113,113,1702558,11,0
2018,124,Crew,Shy Glizzy,113,113,113,1702558,11,0
2018,125,Fake Love,Drake,1,1,1,1690408,124,0
2018,126,iSpy,KYLE,2,2,2,1687195,124,0
2018,126,iSpy,Lil Yachty,2,2,2,1687195,124,0
2018,127,The Other Side,Hugh Jackman,90,90,90,1685014,37,0
2018,128,The Weekend,SZA,90,90,90,1684278,38,0
2018,129,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,4,4,4,1683862,125,0
